"","N","sample_size","event_p","noise_sd","bias_OR","EVPIv1","EVPIv2","EVPIv3","EVPIv4","NB_model1","NB_model2","NB_model3","NB_model4","NB_all1","NB_all2","NB_all3","NB_all4","auc","prev"
"1",100,125,NA,NA,1,0.000947583157894737,0.00183324444444445,0.00185509176470588,0.00172482,0.114277894736842,0.0824177777777778,0.0586541176470588,0.0426,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.753986204967185,0.154838140995752
"2",100,125,NA,NA,1.5,0.000321907368421053,0.00130464,0.00185214117647059,0.00274428,0.113503157894737,0.0806577777777778,0.0548564705882353,0.03746,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.753986204967185,0.154838140995752
"3",100,125,NA,NA,2,0.000141995789473685,0.00151731555555556,0.00245433882352941,0.00415402,0.112421052631579,0.0757333333333333,0.0482494117647059,0.0267,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.753986204967185,0.154838140995752
"4",100,125,NA,NA,2.5,7.74273684210529e-05,0.00148012444444444,0.00336426352941177,0.00601372,0.111827368421053,0.0726044444444444,0.0411764705882353,0.01636,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.753986204967185,0.154838140995752
"5",100,125,NA,NA,3,7.08294736842108e-05,0.00151263111111111,0.00429407058823529,0.0065191,0.111237894736842,0.0702311111111111,0.0348094117647059,0.00604,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.753986204967185,0.154838140995752
"6",100,125,NA,NA,3.5,6.17178947368419e-05,0.00153631111111111,0.00495682823529412,0.00625848,0.111086315789474,0.0679644444444444,0.0295435294117647,-0.00208,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.753986204967185,0.154838140995752
"7",100,125,NA,NA,4,6.53221052631573e-05,0.00153925333333333,0.00538886117647059,0.00607622,0.110812631578947,0.0667377777777778,0.0257976470588235,-0.0093,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.753986204967185,0.154838140995752
"8",100,125,NA,0.25,NA,0.00100575157894737,0.00175516444444445,0.00132552941176471,0.0015448,0.114888421052632,0.0830222222222222,0.0595529411764706,0.04186,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.745998459903655,0.154838140995752
"9",100,125,NA,0.5,NA,0.00141288842105263,0.00227408,0.00191915764705882,0.00197586,0.113486315789474,0.0798311111111111,0.0535623529411765,0.03638,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.725324437621243,0.154838140995752
"10",100,125,NA,0.75,NA,0.00148614736842105,0.00321893333333333,0.00276585882352941,0.00255516,0.110214736842105,0.0736533333333333,0.0475576470588235,0.03156,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.69895211440916,0.154838140995752
"11",100,125,NA,1,NA,0.00169285894736842,0.00381376888888889,0.00355486588235294,0.00343816,0.104172631578947,0.0669688888888889,0.0416847058823529,0.02484,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.674305434814522,0.154838140995752
"12",100,125,0.05,NA,NA,0.00459837894736842,0.00358470222222222,0.00200409411764706,0.00178606,0.114277894736842,0.0824177777777778,0.0586541176470588,0.0426,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.753986204967185,0.0499999999999999
"13",100,125,0.1,NA,NA,0.000781936842105263,0.00189022222222222,0.00375278117647059,0.0039862,0.114277894736842,0.0824177777777778,0.0586541176470588,0.0426,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.753986204967185,0.0999999999999998
"14",100,125,0.25,NA,NA,0.00061138947368421,0.00259742222222222,0.00353058823529411,0.00379228,0.114277894736842,0.0824177777777778,0.0586541176470588,0.0426,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.753986204967185,0.25
"15",100,125,0.5,NA,NA,7.86399999999998e-05,0.000895315555555555,0.000538555294117645,0.000681419999999999,0.114277894736842,0.0824177777777778,0.0586541176470588,0.0426,0.1104,0.0609777777777778,0.00574117647058823,-0.0564,0.753986204967185,0.5
"16",100,250,NA,NA,1,0.000942741052631578,0.000715693333333334,0.000346494117647059,0.00050996,0.113888421052632,0.0820133333333333,0.0580611764705882,0.04131,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.744020903156727,0.154425259357764
"17",100,250,NA,NA,1.5,0.000496884210526316,0.000371364444444444,0.000503089411764706,0.00140302,0.113465263157895,0.0793777777777778,0.0543011764705882,0.03641,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.744020903156727,0.154425259357764
"18",100,250,NA,NA,2,0.000195515789473685,0.000422417777777778,0.00106523764705882,0.00292292,0.113225263157895,0.0751111111111111,0.0460211764705882,0.02564,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.744020903156727,0.154425259357764
"19",100,250,NA,NA,2.5,8.34252631578947e-05,0.000505431111111111,0.00168243294117647,0.00370438,0.112566315789474,0.0717555555555556,0.0400517647058823,0.01407,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.744020903156727,0.154425259357764
"20",100,250,NA,NA,3,1.39810526315791e-05,0.000439884444444445,0.00247886588235294,0.00419644,0.112328421052632,0.0697822222222222,0.0336635294117647,0.0043,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.744020903156727,0.154425259357764
"21",100,250,NA,NA,3.5,5.56210526315798e-06,0.000503968888888889,0.00281431058823529,0.00438704,0.112082105263158,0.0681288888888889,0.0291223529411765,-0.00306,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.744020903156727,0.154425259357764
"22",100,250,NA,NA,4,2.338947368421e-06,0.000355106666666667,0.00317423294117647,0.00415065,0.11188,0.0674266666666667,0.0250211764705882,-0.01042,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.744020903156727,0.154425259357764
"23",100,250,NA,0.25,NA,0.000823136842105263,0.000889359999999999,0.000238007058823529,0.00040217,0.114058947368421,0.0808266666666666,0.0575835294117647,0.04012,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.736064161093721,0.154425259357764
"24",100,250,NA,0.5,NA,0.00103552,0.00131958222222222,0.000354762352941176,0.000661199999999999,0.112265263157895,0.0776088888888889,0.0528894117647059,0.03523,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.717504068823862,0.154425259357764
"25",100,250,NA,0.75,NA,0.00117807157894737,0.00192826666666667,0.000696536470588235,0.00107639,0.108282105263158,0.0729422222222222,0.0476682352941177,0.02867,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.694222798327554,0.154425259357764
